id	ME-1_DMSO_rep1	ME-1_DMSO_rep2	ME-1_DMSO_rep3	ME-1_AI-10-49_rep1	ME-1_AI-10-49_rep2	ME-1_AI-10-49_rep3
ENSG00000000003	4	2	3	1	3	0
ENSG00000000005	0	0	0	0	1	0
ENSG00000000419	850	838	958	1425	1334	1424
ENSG00000000457	331	301	299	611	648	685
ENSG00000000460	287	346	304	359	366	390
ENSG00000000938	95	134	91	81	91	77
ENSG00000001036	700	692	764	489	484	476
ENSG00000001084	971	1017	1013	865	907	836
ENSG00000001167	1454	1510	1528	1216	1161	1118
ENSG00000001460	116	129	107	139	143	147
ENSG00000001461	785	741	742	954	1007	1010
ENSG00000001497	1195	1418	1163	879	907	815
ENSG00000001617	31	46	37	111	123	115
ENSG00000001629	908	960	894	909	921	896
ENSG00000001630	184	170	216	471	475	478
ENSG00000001631	1143	1225	1109	1251	1306	1225
ENSG00000002016	305	369	281	395	404	361
ENSG00000002079	0	0	1	2	1	0
ENSG00000002330	133	154	184	141	167	154
ENSG00000002549	1067	1118	1081	1023	1035	985
ENSG00000002587	2	5	8	4	10	4
ENSG00000002745	0	0	2	1	0	0
ENSG00000002746	0	0	0	0	0	1
ENSG00000002822	523	567	602	731	801	721
ENSG00000002834	2906	2797	2842	2843	2962	2768
ENSG00000002919	441	436	435	592	665	559
ENSG00000003056	2941	3125	3117	1897	2037	1877
ENSG00000003096	2	0	1	0	1	0
ENSG00000003147	3	12	7	6	13	11
ENSG00000003249	19	15	15	27	33	23
ENSG00000003393	1473	1637	1447	854	869	843
ENSG00000003400	155	159	172	261	297	272
ENSG00000003402	425	477	377	531	533	508
ENSG00000003436	220	219	197	484	453	448
ENSG00000003509	288	320	257	310	322	332
ENSG00000003756	1868	2126	1694	2642	2817	2627
ENSG00000003987	62	82	66	86	89	87
ENSG00000004059	974	1017	1110	823	935	845
ENSG00000004139	3	2	0	1	1	0
ENSG00000004142	1796	1915	1980	1442	1524	1478
ENSG00000004399	4499	5175	4347	2433	2784	2430
ENSG00000004455	3630	3695	4045	3079	3299	3301
ENSG00000004468	71	70	57	57	65	66
ENSG00000004478	3255	3626	4029	1550	1644	1605
ENSG00000004487	3048	3104	3000	2075	2199	2071
ENSG00000004534	2108	2499	1928	1778	1947	1690
ENSG00000004660	179	227	178	37	37	40
ENSG00000004700	920	954	988	753	862	794
ENSG00000004766	435	424	433	563	599	609
ENSG00000004776	0	1	0	1	2	0
ENSG00000004777	240	329	220	175	230	178
ENSG00000004779	997	948	1187	708	747	784
ENSG00000004799	1	0	0	0	0	0
ENSG00000004809	669	685	727	342	348	321
ENSG00000004838	17	12	17	18	21	14
ENSG00000004846	1	0	0	0	0	0
ENSG00000004864	409	374	420	519	535	519
ENSG00000004866	425	461	443	572	588	500
ENSG00000004897	1523	1581	1531	2003	2049	1946
ENSG00000004939	1	3	0	0	0	1
ENSG00000004961	296	280	290	344	332	312
ENSG00000004975	595	691	649	635	710	633
ENSG00000005001	2	1	1	0	0	0
ENSG00000005007	3116	3595	3125	2406	2776	2338
ENSG00000005020	2258	2196	2268	2393	2356	2343
ENSG00000005022	4600	4665	5087	4646	4900	4671
ENSG00000005059	11	11	11	2	2	3
ENSG00000005073	200	207	193	112	122	93
ENSG00000005075	346	371	367	324	327	295
ENSG00000005100	694	757	694	231	232	220
ENSG00000005108	0	1	0	1	0	0
ENSG00000005156	965	1106	964	612	688	544
ENSG00000005175	947	979	1086	1351	1424	1422
ENSG00000005187	383	424	438	354	333	336
ENSG00000005189	507	590	585	593	571	606
ENSG00000005194	946	939	1086	903	897	874
ENSG00000005206	1040	1299	988	850	914	764
ENSG00000005238	230	267	214	315	372	280
ENSG00000005249	0	0	1	0	1	1
ENSG00000005302	334	366	332	332	334	306
ENSG00000005339	2525	2786	2189	5039	5767	4978
ENSG00000005379	2047	2623	1884	1140	1310	1129
ENSG00000005381	62317	68697	64658	39772	45207	40742
ENSG00000005436	500	504	491	625	574	586
ENSG00000005448	268	289	324	340	348	330
ENSG00000005471	1	1	1	0	1	0
ENSG00000005483	1667	1663	1502	2747	2937	2784
ENSG00000005486	423	442	435	579	612	510
ENSG00000005513	10	9	7	9	7	5
