id	T98G_KO1	T98G_KO2	T98G_KO3	T98G_WT1	T98G_WT2	T98G_WT3
ENSG00000000003	84	108	108	87	72	81
ENSG00000000005	1	0	0	0	0	0
ENSG00000000419	538	692	569	619	642	574
ENSG00000000457	146	170	125	135	146	127
ENSG00000000460	275	338	270	308	253	284
ENSG00000000938	0	0	0	1	0	0
ENSG00000000971	13	15	16	5	11	11
ENSG00000001036	371	445	406	358	411	366
ENSG00000001084	1898	1944	1727	976	1035	1011
ENSG00000001167	415	426	429	471	480	484
ENSG00000001460	23	28	18	20	30	22
ENSG00000001461	273	279	245	337	358	326
ENSG00000001497	770	842	784	799	861	715
ENSG00000001561	6	7	2	6	1	6
ENSG00000001617	47	36	41	93	78	70
ENSG00000001626	7	3	4	18	27	31
ENSG00000001629	1683	1730	1617	1882	1843	1916
ENSG00000001630	14	9	11	16	18	17
ENSG00000001631	287	258	221	267	285	318
ENSG00000002016	59	63	67	95	80	60
ENSG00000002079	0	3	2	2	3	0
ENSG00000002330	250	294	299	338	325	305
ENSG00000002549	601	662	692	561	558	595
ENSG00000002586	0	0	0	0	2	0
ENSG00000002587	72	89	51	29	24	27
ENSG00000002726	0	1	0	3	4	2
ENSG00000002745	1	0	0	2	0	0
ENSG00000002746	86	117	94	103	100	98
ENSG00000002822	119	150	144	180	154	138
ENSG00000002834	5922	6286	5678	7045	7590	7264
ENSG00000002919	183	200	175	212	220	200
ENSG00000002933	1	0	1	0	1	0
ENSG00000003056	1094	1093	1083	1168	1179	1030
ENSG00000003096	0	0	0	0	0	0
ENSG00000003137	732	682	670	520	464	534
ENSG00000003147	0	0	0	0	0	0
ENSG00000003249	57	58	69	96	131	94
ENSG00000003393	265	287	287	327	345	333
ENSG00000003400	0	0	1	2	3	2
ENSG00000003402	106	111	87	104	125	127
ENSG00000003436	867	898	808	820	907	970
ENSG00000003509	243	273	217	249	293	245
ENSG00000003756	535	590	575	656	710	635
ENSG00000003987	14	25	20	21	22	28
ENSG00000003989	259	260	241	178	188	212
ENSG00000004059	290	375	317	344	378	298
ENSG00000004139	727	742	691	719	661	655
ENSG00000004142	1756	1847	1730	1870	1952	1764
ENSG00000004399	754	777	724	972	936	909
ENSG00000004455	2525	2645	2444	2361	2543	2264
ENSG00000004468	0	1	0	0	0	1
ENSG00000004478	1672	1769	1660	1697	1901	1590
ENSG00000004487	1071	1102	934	1068	1096	1008
ENSG00000004534	419	376	343	394	455	421
ENSG00000004660	105	121	123	137	104	92
ENSG00000004700	747	828	736	857	871	827
ENSG00000004776	5	7	6	6	5	5
ENSG00000004777	295	308	272	452	368	280
ENSG00000004779	454	597	510	553	526	452
ENSG00000004799	1	0	0	2	0	1
ENSG00000004809	0	0	0	0	0	0
ENSG00000004838	8	5	8	12	11	8
ENSG00000004846	0	0	0	0	1	0
ENSG00000004848	0	0	0	0	0	0
ENSG00000004864	677	712	667	581	634	552
ENSG00000004866	199	220	171	212	191	239
ENSG00000004897	2388	2361	2136	2267	2275	2293
ENSG00000004939	0	0	0	0	0	0
ENSG00000004948	0	0	0	0	0	0
ENSG00000004961	249	231	243	224	272	277
ENSG00000004975	344	401	374	429	416	393
ENSG00000005001	1	0	1	0	0	0
ENSG00000005007	939	1030	1019	1144	1112	949
ENSG00000005020	164	163	138	141	164	151
ENSG00000005022	2753	3262	3265	3445	3435	3271
ENSG00000005073	0	2	0	2	2	3
ENSG00000005075	278	235	318	258	327	264
ENSG00000005100	715	838	718	664	722	722
ENSG00000005102	1	0	1	0	0	1
ENSG00000005108	0	1	1	2	3	1
ENSG00000005156	364	400	350	493	589	592
ENSG00000005175	514	567	505	488	587	543
ENSG00000005187	58	57	68	66	75	76
ENSG00000005194	512	551	484	542	590	466
ENSG00000005206	172	187	190	244	232	220
ENSG00000005238	190	193	203	284	291	259
ENSG00000005243	152	178	158	246	206	211
ENSG00000005249	142	121	94	94	77	94
ENSG00000005302	316	308	265	248	288	263
ENSG00000005339	1438	1366	1394	1620	1699	1763
ENSG00000005381	0	0	0	0	0	0
ENSG00000005421	0	0	0	0	0	0
ENSG00000005436	132	139	158	149	175	162
ENSG00000005448	157	171	152	187	191	188
ENSG00000005469	434	464	369	474	403	437
ENSG00000005471	0	3	2	2	1	2
ENSG00000005483	472	437	411	433	446	507
ENSG00000005486	304	272	341	297	366	269
ENSG00000005513	0	0	0	0	0	0
ENSG00000005700	379	369	368	403	375	436
ENSG00000005801	252	266	219	249	241	253
ENSG00000005810	609	631	581	601	738	806
ENSG00000005812	455	470	422	450	456	436
ENSG00000005844	1	0	1	3	0	2
ENSG00000005882	186	170	187	200	226	215
ENSG00000005884	1831	1894	2033	2644	2759	2377
ENSG00000005889	479	420	404	362	406	452
ENSG00000005893	1630	1852	1636	1734	1706	1650
ENSG00000005961	0	0	0	0	2	0
ENSG00000005981	0	0	0	0	0	0
ENSG00000006007	724	731	647	719	695	679
ENSG00000006016	131	117	143	231	149	178
ENSG00000006025	125	153	135	161	191	139
ENSG00000006042	0	0	0	0	0	0
ENSG00000006047	0	0	0	1	1	0
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	1893	2109	2034	1656	1741	1608
ENSG00000006071	16	7	4	19	12	16
ENSG00000006116	1	0	0	0	2	0
ENSG00000006118	709	743	712	733	692	723
ENSG00000006125	3300	3410	3061	3304	3529	3402
ENSG00000006128	0	0	0	0	0	0
ENSG00000006194	344	366	335	339	338	377
ENSG00000006210	2	2	1	2	2	1
ENSG00000006282	355	403	417	446	481	395
ENSG00000006283	40	43	55	59	65	64
ENSG00000006327	1042	1126	1179	1394	1401	1324
ENSG00000006377	0	0	0	0	0	0
ENSG00000006432	176	163	185	155	205	193
ENSG00000006451	444	455	437	526	467	475
ENSG00000006453	180	238	214	226	279	233
ENSG00000006459	24	31	31	27	21	27
ENSG00000006468	38	32	40	25	30	29
ENSG00000006530	82	129	132	96	130	126
ENSG00000006534	262	316	297	301	316	307
ENSG00000006555	0	0	0	0	0	0
ENSG00000006576	599	597	499	607	544	587
ENSG00000006606	39	41	46	48	41	51
ENSG00000006607	648	673	610	650	655	677
ENSG00000006611	0	0	0	0	0	0
ENSG00000006625	245	280	282	268	250	256
ENSG00000006634	863	892	809	807	820	735
ENSG00000006638	0	0	1	0	1	1
ENSG00000006652	522	577	541	525	509	481
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	283	313	251	262	278	250
ENSG00000006704	302	293	282	293	336	324
ENSG00000006712	380	416	372	447	425	462
ENSG00000006715	293	308	270	310	333	324
ENSG00000006740	2	4	2	1	3	0
ENSG00000006744	970	1007	1000	918	988	948
ENSG00000006747	0	0	0	3	2	1
ENSG00000006756	83	98	102	121	131	119
ENSG00000006757	0	0	0	0	0	0
ENSG00000006788	0	0	0	0	1	0
ENSG00000006831	733	899	781	808	884	789
ENSG00000006837	4	12	7	8	12	7
ENSG00000007001	0	0	0	0	0	0
ENSG00000007038	0	0	0	0	0	0
ENSG00000007047	326	317	297	426	371	393
ENSG00000007062	0	0	0	0	0	0
ENSG00000007080	407	446	420	393	404	435
ENSG00000007129	0	0	0	0	0	0
ENSG00000007168	1425	1583	1339	1505	1567	1532
ENSG00000007171	0	0	1	0	0	0
ENSG00000007174	0	0	0	0	0	1
ENSG00000007202	1795	2025	1836	1875	2044	1941
ENSG00000007216	0	0	0	0	0	0
ENSG00000007237	4	1	4	1	2	1
ENSG00000007255	23	32	40	47	30	24
ENSG00000007264	0	0	0	0	1	0
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	0	1	0	1	0	0
ENSG00000007314	0	0	0	0	0	0
ENSG00000007341	190	186	152	193	209	175
ENSG00000007350	0	0	0	0	1	0
ENSG00000007372	23	20	13	28	24	27
ENSG00000007376	409	433	483	428	443	380
ENSG00000007384	178	222	223	263	258	270
ENSG00000007392	274	343	296	344	338	258
ENSG00000007402	7	3	7	10	13	6
ENSG00000007516	131	101	135	136	117	120
ENSG00000007520	336	415	398	411	412	364
ENSG00000007541	335	351	386	404	368	380
ENSG00000007866	133	159	148	171	183	178
ENSG00000007908	0	0	0	0	0	0
ENSG00000007923	731	827	758	734	777	711
ENSG00000007933	0	2	0	0	0	1
ENSG00000007944	66	68	73	75	97	87
ENSG00000007952	0	1	2	1	4	4
ENSG00000007968	120	157	160	167	169	190
ENSG00000008018	1114	1361	1204	1291	1255	1207
ENSG00000008056	6	9	7	4	4	2
ENSG00000008083	297	292	281	289	285	281
ENSG00000008086	23	25	20	34	30	25
ENSG00000008118	2	2	0	1	5	11
ENSG00000008128	37	37	39	57	53	36
ENSG00000008130	346	436	345	432	389	357
ENSG00000008196	1	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	57	68	65	70	69	51
ENSG00000008256	313	330	344	377	384	380
ENSG00000008277	107	115	106	108	111	115
ENSG00000008282	601	718	642	699	747	658
ENSG00000008283	960	1036	1031	1018	1125	985
ENSG00000008294	770	769	645	827	850	854
ENSG00000008300	263	282	296	373	401	364
ENSG00000008311	196	202	176	169	188	162
ENSG00000008323	13	12	9	4	6	5
ENSG00000008324	100	115	104	109	129	102
ENSG00000008382	60	53	75	62	69	48
ENSG00000008394	2193	2218	1950	1484	1538	1597
ENSG00000008405	187	192	180	163	252	189
ENSG00000008438	3	0	1	3	1	0
ENSG00000008441	3543	3788	3424	3205	3268	3201
ENSG00000008513	2214	2395	2120	1714	1714	1820
ENSG00000008516	22	25	19	33	25	36
ENSG00000008517	36	36	34	64	51	63
ENSG00000008710	716	821	841	980	918	893
ENSG00000008735	9	17	9	20	17	16
ENSG00000008838	733	793	811	819	782	705
ENSG00000008853	242	243	252	249	274	259
ENSG00000008869	195	187	159	185	196	188
ENSG00000008952	1599	1623	1484	1776	1714	1565
ENSG00000008988	4481	4988	4646	4118	4751	4066
ENSG00000009307	7144	7408	6623	6733	7152	6772
ENSG00000009335	1936	2011	1913	1980	2041	1984
ENSG00000009413	273	270	232	284	365	344
ENSG00000009694	1	1	1	1	1	0
ENSG00000009709	0	0	0	0	0	0
ENSG00000009724	21	15	15	15	14	24
ENSG00000009765	0	0	0	0	0	0
ENSG00000009780	55	47	49	48	41	56
ENSG00000009790	11	23	21	33	21	19
ENSG00000009830	153	176	172	190	166	177
ENSG00000009844	644	697	596	666	701	691
ENSG00000009950	0	0	0	0	0	0
ENSG00000009954	1492	1536	1370	1461	1577	1535
ENSG00000010017	578	528	463	611	589	570
ENSG00000010030	6	5	10	5	4	4
ENSG00000010072	163	176	165	223	195	202
ENSG00000010165	289	319	308	319	364	309
ENSG00000010219	136	131	140	134	142	139
ENSG00000010244	3540	3637	3273	3247	3320	3392
ENSG00000010256	785	958	876	814	894	830
ENSG00000010270	663	669	619	697	674	643
ENSG00000010278	312	323	338	479	466	422
ENSG00000010282	0	0	0	0	0	0
ENSG00000010292	2902	3291	2907	3227	3364	3243
ENSG00000010295	158	189	179	229	223	200
ENSG00000010310	3	5	2	8	3	9
ENSG00000010318	17	26	28	22	27	31
ENSG00000010319	4	1	1	9	9	10
ENSG00000010322	503	477	470	636	609	612
ENSG00000010327	76	64	90	85	92	80
ENSG00000010361	122	163	166	147	184	151
ENSG00000010379	0	0	0	0	0	0
