id	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3
ENSG00000121410	16.0	7.0	6.0	25.0	15.0	31.0
ENSG00000268895	0.05	0.05	0.05	0.05	0.05	0.05
ENSG00000148584	0.05	0.05	0.05	0.05	2.0	1.0
ENSG00000175899	45.0	6.0	5.0	2.0	1.0	2.0
ENSG00000245105	0.05	0.05	0.05	0.05	0.05	0.05
ENSG00000166535	4.0	0.05	2.0	33.0	47.0	62.0
ENSG00000184389	0.05	1.0	0.05	0.05	0.05	0.05
ENSG00000128274	61.0	69.0	57.0	112.0	47.0	95.0
ENSG00000118017	0.05	0.05	0.05	1.0	1.0	0.05
ENSG00000094914	325.0	283.0	372.0	703.0	678.0	621.0
ENSG00000081760	369.0	411.0	405.0	554.0	489.0	537.0
ENSG00000114771	0.05	0.05	0.05	0.05	0.05	0.05
ENSG00000197953	0.05	0.05	0.05	0.05	0.05	0.05
ENSG00000188984	0.05	0.05	0.05	12.0	9.0	11.0
ENSG00000204518	1.0	1.0	0.05	1.0	0.05	0.05
ENSG00000109576	191.0	181.0	157.0	225.0	165.0	118.0
ENSG00000158122	100.0	111.0	99.0	54.0	51.0	45.0
ENSG00000103591	574.0	590.0	611.0	845.0	732.0	684.0
ENSG00000115977	911.0	838.0	924.0	985.0	879.0	854.0
ENSG00000087884	60.0	45.0	67.0	95.0	89.0	96.0
ENSG00000127837	666.0	664.0	779.0	1288.0	1658.0	1471.0
ENSG00000129673	2.0	3.0	0.05	2.0	5.0	2.0
ENSG00000131043	341.0	334.0	355.0	455.0	452.0	431.0
ENSG00000205002	2.0	1.0	1.0	14.0	14.0	16.0
ENSG00000090861	879.0	1005.0	1148.0	3223.0	4294.0	3860.0
ENSG00000124608	225.0	208.0	256.0	547.0	591.0	528.0
ENSG00000266967	52.667	50.0	63.0	141.667	138.0	421.0
ENSG00000157426	88.0	98.0	115.0	298.0	217.0	171.0
ENSG00000149313	786.0	690.0	789.0	790.0	779.0	721.0
ENSG00000008311	310.0	246.0	246.0	5924.0	5508.0	5655.0
ENSG00000275700	633.0	593.0	751.0	1161.0	1308.0	1229.0
ENSG00000181409	28.0	21.0	34.0	21.0	20.0	23.0
ENSG00000225180	0.05	0.05	0.05	0.05	0.05	0.05
ENSG00000183044	172.0	101.0	80.0	146.0	120.0	148.0
ENSG00000165029	677.0	377.0	434.0	1448.0	1548.0	1628.0
ENSG00000107331	179.0	123.0	154.0	87.0	68.0	71.0
ENSG00000167972	40.0	44.0	75.0	259.0	202.0	213.0
ENSG00000198691	158.0	179.0	198.0	2.0	2.0	2.0
ENSG00000154265	210.0	205.0	202.0	55.0	65.0	55.0
ENSG00000154262	0.05	0.05	0.05	0.05	0.05	0.05
ENSG00000064687	136.0	101.0	132.0	251.0	218.0	212.0
ENSG00000141338	0.05	0.05	0.05	0.05	0.05	1.0
ENSG00000154258	2.0	0.05	2.0	0.05	2.0	0.05
ENSG00000154263	0.05	3.0	6.0	1.0	1.0	1.0
ENSG00000144452	48.0	43.0	42.0	0.05	0.05	1.0
ENSG00000179869	3.0	1.0	0.05	7.0	4.0	3.0
ENSG00000085563	2.0	0.05	3.0	6.0	5.0	4.0
ENSG00000005471	15.0	4.0	11.0	1.0	1.0	1.0
ENSG00000004846	0.05	0.05	0.05	0.05	0.05	0.05
ENSG00000115657	223.0	210.0	247.0	289.0	451.0	367.0
ENSG00000131269	186.0	182.0	192.0	603.0	474.0	487.0
ENSG00000197150	399.0	297.0	408.0	273.0	337.0	298.0
ENSG00000150967	43.0	39.0	49.0	34.0	30.0	37.0
ENSG00000135776	361.0	358.0	335.0	288.0	311.0	297.0
ENSG00000073734	1.0	0.05	2.0	0.05	0.05	0.05
ENSG00000103222	691.0	555.0	571.0	1187.0	966.0	995.0
ENSG00000023839	9.0	7.0	9.0	10.0	10.0	15.0
ENSG00000108846	3.0	8.0	2.0	3.0	2.0	2.0
ENSG00000125257	200.0	156.0	110.0	233.0	167.0	138.0
ENSG00000114770	364.0	344.0	378.0	856.0	754.0	708.0
ENSG00000223882	0.05	0.05	0.05	0.05	0.05	0.05
ENSG00000091262	12.0	5.0	10.0	2.0	5.0	9.0
ENSG00000006071	0.05	0.05	0.05	19.0	22.0	14.0
ENSG00000069431	0.05	3.0	1.0	0.05	0.05	0.05
ENSG00000124574	426.0	352.0	437.0	253.0	250.0	219.0
ENSG00000121270	0.05	2.0	0.05	3.0	6.0	4.0
ENSG00000140798	0.05	0.05	0.05	1.0	0.05	1.0
ENSG00000101986	143.0	162.0	177.0	61.0	80.0	63.0
ENSG00000173208	2.0	1.0	0.05	0.05	0.05	0.05
ENSG00000117528	905.0	881.0	956.0	587.0	516.0	547.0
ENSG00000119688	305.0	234.0	265.0	697.0	622.0	574.0
ENSG00000164163	847.0	815.0	857.0	2203.0	2396.0	2131.0
ENSG00000204574	996.0	927.0	1102.0	2316.0	2153.0	2040.0
ENSG00000033050	505.0	553.0	564.0	859.0	1064.0	878.0
ENSG00000161204	356.0	322.0	396.0	524.0	645.0	547.0
ENSG00000160179	3.0	1.0	5.0	47.0	23.0	44.0
ENSG00000118777	250.0	346.0	258.0	42.0	91.0	64.0
ENSG00000172350	1.0	1.0	1.0	5.0	15.0	17.0
ENSG00000138075	0.05	0.05	0.05	0.05	1.0	1.0
ENSG00000143921	0.05	0.05	0.05	0.05	0.05	0.05
ENSG00000143994	0.05	0.05	0.05	4.0	2.0	2.0
ENSG00000140526	870.0	850.0	907.0	561.0	452.0	499.0
ENSG00000158201	166.0	139.0	158.0	94.0	87.0	108.0
ENSG00000100439	375.0	508.0	472.0	667.0	884.0	753.0
ENSG00000011198	287.0	332.0	333.0	354.0	343.0	368.0
ENSG00000163686	38.0	32.0	39.0	47.0	40.0	45.0
ENSG00000127220	59.0	73.0	70.0	201.0	172.0	181.0
ENSG00000144827	199.0	171.0	157.0	303.0	297.0	292.0
ENSG00000106077	99.0	96.0	96.0	222.0	240.0	207.0
ENSG00000100997	648.0	626.0	724.0	657.0	842.0	750.0
ENSG00000131969	3.0	2.0	1.0	7.0	17.0	9.0
ENSG00000139826	335.0	294.0	329.0	270.0	208.0	214.0
ENSG00000248487	46.0	31.0	27.0	26.0	28.0	27.0
ENSG00000114786	0.05	0.05	0.05	0.05	0.05	0.05
ENSG00000114779	107.0	123.0	156.0	58.0	77.0	67.0
ENSG00000168792	167.0	156.0	167.0	17.0	21.0	18.0
ENSG00000204427	404.0	351.0	441.0	356.0	357.0	335.0
ENSG00000183260	30.0	26.0	30.0	33.0	41.0	33.0
ENSG00000129968	207.0	201.0	252.0	189.0	199.0	150.0
ENSG00000107362	239.0	167.0	214.0	961.0	777.0	781.0
ENSG00000136379	144.0	210.0	224.0	314.0	214.0	213.0
ENSG00000136754	920.0	1069.0	1116.0	648.0	540.0	612.0
ENSG00000138443	644.0	587.0	639.0	1718.0	1542.0	1530.0
ENSG00000108798	0.05	0.05	0.05	14.0	20.0	13.0
ENSG00000154175	7.0	7.0	8.0	1.0	2.0	2.0
ENSG00000097007	838.0	740.0	952.0	2423.0	1936.0	1956.0
ENSG00000143322	713.0	656.0	773.0	478.0	345.0	332.0
ENSG00000099204	874.0	1022.0	1003.0	916.0	724.0	703.0
ENSG00000163995	3.0	1.0	8.0	26.0	15.0	16.0
ENSG00000173210	126.0	108.0	106.0	3.0	5.0	4.0
ENSG00000175164	5.0	0.05	0.05	0.05	0.05	0.05
ENSG00000159842	838.0	740.0	813.0	482.0	409.0	391.0
ENSG00000174429	1.0	0.05	0.05	0.05	0.05	0.05
ENSG00000146386	508.0	554.0	558.0	1405.0	1273.0	1381.0
ENSG00000146109	229.0	267.0	255.0	403.0	457.0	388.0
ENSG00000114626	58.0	38.0	47.0	50.0	29.0	32.0
ENSG00000166016	584.0	588.0	724.0	138.0	155.0	118.0
ENSG00000060971	382.0	351.0	358.0	262.0	305.0	291.0
ENSG00000167315	471.0	469.0	519.0	1332.0	1204.0	1298.0
ENSG00000278540	747.0	819.0	934.0	1549.0	1289.0	1213.0
ENSG00000076555	25.0	25.0	19.0	177.0	131.0	119.0
ENSG00000151498	148.0	128.0	144.0	667.0	658.0	563.0
ENSG00000177646	333.0	273.0	300.0	423.0	365.0	378.0
ENSG00000111271	199.0	160.0	190.0	220.0	186.0	208.0
ENSG00000240303	187.0	136.0	146.0	187.0	271.0	210.0
ENSG00000115361	32.0	58.0	42.0	13.0	7.0	6.0
ENSG00000117054	374.0	377.0	424.0	1183.0	1166.0	1093.0
ENSG00000122971	26.0	29.0	36.0	30.0	48.0	31.0
ENSG00000196177	155.0	113.0	138.0	442.0	302.0	298.0
ENSG00000072778	2897.0	2636.0	3053.0	1856.0	1944.0	1598.0
ENSG00000157766	4.0	0.05	0.05	21.0	9.0	22.0
ENSG00000072818	7.0	8.0	8.0	51.0	51.0	61.0
ENSG00000114331	725.0	730.0	748.0	957.0	968.0	798.0
ENSG00000131584	737.0	584.0	657.0	469.0	373.0	363.0
ENSG00000075239	226.0	209.0	246.0	572.0	568.0	560.0
ENSG00000120437	266.0	323.0	374.0	612.0	507.0	502.0
ENSG00000182827	1333.0	1317.0	1283.0	727.0	759.0	654.0
ENSG00000181513	29.0	34.0	24.0	72.0	62.0	54.0
ENSG00000107897	453.0	518.0	509.0	440.0	473.0	380.0
ENSG00000176244	10.0	9.0	15.0	208.0	140.0	133.0
ENSG00000110455	53.0	51.0	53.0	38.0	17.0	22.0
ENSG00000205126	0.05	0.05	0.05	1.0	0.05	0.05
ENSG00000102977	118.0	88.0	118.0	319.0	365.0	325.0
ENSG00000159640	8.0	6.0	20.0	48.0	41.0	67.0
ENSG00000130234	124.0	73.0	75.0	3.0	6.0	6.0
ENSG00000167769	0.05	0.05	1.0	1.0	0.05	0.05
ENSG00000177076	68.0	77.0	64.0	101.0	59.0	57.0
ENSG00000078124	379.0	389.0	390.0	263.0	206.0	205.0
ENSG00000087085	367.0	361.0	391.0	62.0	93.0	98.0
ENSG00000100813	1747.0	1523.0	1891.0	5679.0	4310.0	4881.0
ENSG00000144648	129.0	134.0	115.0	1.0	0.05	0.05
ENSG00000144476	2962.0	3228.0	3734.0	69.0	31.0	32.0
ENSG00000129048	0.05	1.0	1.0	3.0	1.0	1.0
ENSG00000131473	2296.0	2285.0	2443.0	3078.0	2488.0	2583.0
ENSG00000153086	3.0	1.0	0.05	0.05	1.0	3.0
ENSG00000196636	41.0	52.0	42.0	135.0	151.0	161.0
ENSG00000122729	373.0	449.0	449.0	686.0	731.0	704.0
ENSG00000100412	436.0	428.0	567.0	637.0	783.0	618.0
ENSG00000184227	54.0	69.0	84.0	27.0	21.0	34.0
ENSG00000119673	135.0	120.0	162.0	72.0	41.0	73.0
ENSG00000177465	14.0	15.0	10.0	13.0	14.0	14.0
ENSG00000205669	0.05	0.05	0.05	2.0	3.0	0.05
ENSG00000097021	361.0	312.0	387.0	609.0	621.0	624.0
ENSG00000101473	70.0	55.0	72.0	187.0	171.0	156.0
ENSG00000123130	851.0	849.0	876.0	665.0	757.0	695.0
ENSG00000162390	50.0	43.0	74.0	85.0	58.0	52.0
ENSG00000172497	0.05	0.05	0.05	1.0	1.0	2.0
ENSG00000112304	236.0	251.0	278.0	743.0	885.0	812.0
ENSG00000161533	669.0	635.0	691.0	515.0	656.0	560.0
ENSG00000168306	2.0	1.0	1.0	8.0	14.0	17.0
ENSG00000087008	204.0	247.0	270.0	84.0	57.0	69.0
ENSG00000153093	2.0	6.0	6.0	321.0	182.0	265.0
ENSG00000143727	941.0	941.0	1028.0	1510.0	1255.0	1362.0
ENSG00000134575	586.0	571.0	639.0	282.0	379.0	279.0
ENSG00000102575	5.0	1.0	4.0	54.0	81.0	55.0
ENSG00000162836	60.0	50.0	58.0	184.0	167.0	161.0
ENSG00000014257	13.0	8.0	8.0	2.0	1.0	3.0
ENSG00000142513	1.0	0.05	0.05	0.05	2.0	0.05
ENSG00000100312	1.0	1.0	3.0	0.05	1.0	0.05
ENSG00000111644	2.0	2.0	3.0	9.0	18.0	7.0
