id	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest
ENSG00000197956	0	6	16	30
ENSG00000167680	30	20	20	2
ENSG00000104856	7	4	4	30
ENSG00000167702	10	21	9	30
ENSG00000167513	4	0	16	30
ENSG00000114378	11	5	11	30
ENSG00000138031	7	4	12	30
ENSG00000272636	5	1	24	30
ENSG00000075673	4	7	0	30
ENSG00000147679	5	2	30	13
ENSG00000235173	2	0	12	30
ENSG00000154640	30	25	29	22
ENSG00000068971	27	22	25	30
ENSG00000185813	14	10	16	30
ENSG00000239857	7	7	17	30
ENSG00000204262	4	9	30	25
ENSG00000115526	9	30	3	18
ENSG00000165695	30	9	1	3
ENSG00000170236	30	15	1	5
ENSG00000085831	18	12	0	30
ENSG00000159423	30	24	18	22
ENSG00000197530	10	6	3	30
ENSG00000005448	30	11	9	20
ENSG00000213672	3	5	30	11
ENSG00000109084	0	0	0	30
ENSG00000140104	30	21	14	23
ENSG00000179627	8	0	22	30
ENSG00000135537	30	10	17	19
ENSG00000131697	21	30	6	28
ENSG00000141577	22	30	13	21
ENSG00000143119	23	30	2	0
ENSG00000160781	0	0	1	30
ENSG00000114767	6	3	2	30
ENSG00000174307	0	1	9	30
ENSG00000186891	30	10	1	9
ENSG00000188051	0	0	2	30
ENSG00000129173	0	5	23	30
ENSG00000176155	30	10	6	15
ENSG00000178997	9	0	30	7
ENSG00000163026	9	3	28	30
ENSG00000105227	0	0	6	30
ENSG00000141569	9	13	30	17
ENSG00000165973	30	4	9	18
ENSG00000197013	16	16	30	25
ENSG00000024862	30	30	18	24
ENSG00000160752	7	10	2	30
ENSG00000186487	30	29	0	0
ENSG00000134330	18	14	19	30
ENSG00000178035	9	30	12	11
ENSG00000117983	30	10	0	8
ENSG00000115289	18	30	13	27
ENSG00000166289	1	0	4	30
ENSG00000235272	21	26	30	16
ENSG00000161835	31	12	22	13
ENSG00000112651	11	23	25	31
ENSG00000213339	17	31	2	29
ENSG00000119630	31	2	23	9
ENSG00000123154	15	17	14	31
ENSG00000118162	6	17	10	31
ENSG00000004838	5	31	0	14
ENSG00000139668	31	12	19	30
ENSG00000143382	2	4	1	31
ENSG00000122033	31	7	27	30
ENSG00000119986	8	7	19	31
ENSG00000130348	17	10	21	31
ENSG00000093144	27	16	12	31
ENSG00000099821	12	3	12	31
ENSG00000250254	2	5	31	20
ENSG00000284762	20	31	12	28
ENSG00000139890	31	29	11	27
ENSG00000186648	31	23	3	17
ENSG00000173137	1	5	4	31
ENSG00000025708	19	30	8	31
ENSG00000153283	7	31	16	11
ENSG00000145088	10	4	31	3
ENSG00000204220	26	2	31	30
ENSG00000152128	8	0	31	17
ENSG00000196660	31	25	4	6
ENSG00000121680	7	0	6	31
ENSG00000137101	3	1	0	31
ENSG00000152760	11	31	1	5
ENSG00000117305	9	0	7	31
ENSG00000132773	16	15	31	4
ENSG00000115163	0	5	17	31
ENSG00000173557	8	31	1	1
ENSG00000115274	24	27	31	16
ENSG00000004700	25	30	16	31
ENSG00000213023	8	0	8	31
ENSG00000105298	12	6	11	31
ENSG00000070601	31	4	7	16
ENSG00000118369	11	9	18	31
ENSG00000136002	15	3	20	31
ENSG00000187778	15	2	25	31
ENSG00000101442	31	3	13	19
ENSG00000112699	12	16	31	25
ENSG00000137960	31	5	2	2
ENSG00000143147	9	4	14	31
ENSG00000179403	2	5	0	31
ENSG00000189056	31	3	10	4
ENSG00000157060	30	31	5	4
ENSG00000157064	2	31	4	26
ENSG00000037042	14	2	6	31
ENSG00000277481	31	9	12	8
ENSG00000179918	21	12	25	31
ENSG00000108551	12	1	31	8
ENSG00000187546	0	3	14	31
ENSG00000166813	16	5	23	31
ENSG00000171813	2	10	18	31
ENSG00000136942	21	31	3	7
ENSG00000138356	4	1	19	31
ENSG00000199477	16	19	16	31
ENSG00000284844	31	18	0	0
ENSG00000160211	15	2	31	24
ENSG00000086205	0	0	32	5
ENSG00000105173	14	3	8	32
ENSG00000160963	22	6	32	23
ENSG00000214706	16	6	32	31
ENSG00000158796	32	21	21	27
ENSG00000184371	7	0	4	32
ENSG00000196155	0	0	32	32
ENSG00000108439	32	21	18	17
ENSG00000119559	11	4	24	32
ENSG00000172548	1	20	0	32
ENSG00000176974	15	16	32	26
ENSG00000100479	10	5	12	32
ENSG00000119720	19	26	29	32
ENSG00000171320	0	0	3	32
ENSG00000069206	27	32	1	0
ENSG00000104356	16	30	32	17
ENSG00000100416	21	18	12	32
ENSG00000079337	3	0	11	32
ENSG00000100413	24	6	20	32
ENSG00000073282	0	13	32	4
ENSG00000104804	16	5	21	32
ENSG00000142082	13	5	11	32
ENSG00000143786	32	17	26	1
ENSG00000110442	15	12	13	32
ENSG00000128944	11	6	5	32
ENSG00000114450	9	8	10	32
ENSG00000137054	31	15	12	32
ENSG00000173662	32	9	1	7
ENSG00000153790	18	3	23	32
ENSG00000186895	15	2	3	32
ENSG00000102007	11	4	19	32
ENSG00000102312	11	20	16	32
ENSG00000198753	15	16	5	32
ENSG00000102032	0	0	9	32
ENSG00000157350	32	12	32	31
ENSG00000203907	9	0	32	12
ENSG00000176020	2	0	15	32
ENSG00000160959	31	14	19	32
ENSG00000102468	32	2	0	6
ENSG00000088899	11	32	23	19
ENSG00000127084	7	29	11	32
ENSG00000160051	32	16	17	20
ENSG00000106633	8	32	7	15
ENSG00000103047	32	16	13	27
ENSG00000163462	32	8	6	16
ENSG00000168703	13	0	0	32
ENSG00000040608	32	0	0	1
ENSG00000248235	6	0	32	12
ENSG00000115998	19	20	26	32
ENSG00000105202	19	32	9	27
ENSG00000232113	32	12	3	5
ENSG00000137310	0	0	0	32
ENSG00000174807	32	4	1	7
ENSG00000173457	3	0	30	32
ENSG00000183569	32	0	8	10
ENSG00000177570	2	5	32	32
ENSG00000248098	14	6	4	32
ENSG00000121903	32	8	31	18
ENSG00000131398	32	28	10	21
ENSG00000007129	24	0	4	32
ENSG00000100147	8	9	13	32
ENSG00000174744	32	18	2	28
ENSG00000252481	7	0	32	0
ENSG00000133983	32	15	11	9
ENSG00000067533	33	22	23	13
ENSG00000243207	20	8	12	33
ENSG00000278023	0	3	19	33
ENSG00000226784	17	26	24	33
ENSG00000141098	33	16	29	23
ENSG00000142549	17	16	33	32
ENSG00000164171	4	8	19	33
ENSG00000166582	33	10	5	25
ENSG00000072778	7	0	17	33
ENSG00000177427	7	5	7	33
ENSG00000013563	3	0	33	29
ENSG00000133943	4	33	15	25
ENSG00000130363	2	33	0	21
ENSG00000107968	5	15	11	33
ENSG00000163817	33	19	8	4
ENSG00000136003	6	6	13	33
ENSG00000132330	29	33	16	21
ENSG00000136856	9	7	0	33
ENSG00000162989	0	33	0	18
ENSG00000092607	19	6	6	33
ENSG00000106853	15	9	33	15
ENSG00000103490	13	6	18	33
ENSG00000188690	33	22	29	21
ENSG00000121281	33	26	3	15
ENSG00000137700	33	23	15	22
ENSG00000275464	22	3	11	33
ENSG00000168970	24	17	15	33
ENSG00000185274	6	33	0	12
ENSG00000090889	1	0	17	33
ENSG00000130023	20	26	25	33
ENSG00000008323	2	0	7	33
ENSG00000129167	33	1	0	3
ENSG00000104892	6	9	17	33
ENSG00000198771	3	0	33	5
ENSG00000141219	20	19	17	33
ENSG00000198837	17	33	13	31
ENSG00000149798	33	16	22	30
ENSG00000181817	2	11	32	33
ENSG00000170214	0	0	18	33
ENSG00000187051	22	10	16	33
ENSG00000203950	22	12	4	33
ENSG00000105613	33	24	3	22
ENSG00000185101	5	0	11	33
ENSG00000125449	13	4	16	33
ENSG00000178297	0	6	2	33
ENSG00000119943	33	9	4	27
ENSG00000185674	6	33	0	0
ENSG00000159251	4	33	2	0
ENSG00000269547	33	11	0	28
ENSG00000278615	15	7	20	33
ENSG00000228672	3	6	1	33
ENSG00000269755	11	4	33	15
ENSG00000110719	12	6	14	34
ENSG00000272949	0	0	5	34
ENSG00000108788	27	25	34	33
ENSG00000105711	34	0	5	0
ENSG00000227877	34	13	3	3
ENSG00000164398	34	24	21	12
ENSG00000037280	34	34	1	1
ENSG00000273611	18	15	18	34
ENSG00000078401	34	6	18	20
ENSG00000145014	19	7	34	25
ENSG00000137200	21	34	12	21
ENSG00000241370	15	19	11	34
ENSG00000149503	8	0	34	24
ENSG00000174791	34	10	3	7
ENSG00000176108	4	1	17	34
ENSG00000197696	34	7	17	25
ENSG00000162944	2	1	0	34
ENSG00000120539	20	24	32	34
ENSG00000165124	0	2	5	34
ENSG00000082014	0	0	19	34
ENSG00000150977	13	5	30	34
ENSG00000176476	9	4	5	34
ENSG00000140688	11	4	15	34
ENSG00000132109	13	6	21	34
ENSG00000103248	11	15	10	34
ENSG00000010072	11	5	10	34
ENSG00000178761	31	17	34	12
ENSG00000138622	3	34	4	10
ENSG00000135318	2	0	34	30
ENSG00000089060	6	0	16	34
ENSG00000117543	28	7	34	26
ENSG00000144554	11	34	26	18
ENSG00000129347	34	10	25	22
ENSG00000162139	31	2	34	7
ENSG00000173083	4	9	1	34
ENSG00000132823	15	13	25	34
ENSG00000148735	4	24	16	34
ENSG00000164967	7	12	34	23
ENSG00000090339	0	0	2	34
ENSG00000167995	6	22	2	34
ENSG00000158156	34	11	1	13
ENSG00000177679	34	33	1	0
ENSG00000130208	1	0	15	34
ENSG00000160753	4	5	20	34
ENSG00000140057	5	34	1	0
ENSG00000170325	18	13	13	34
ENSG00000146285	1	34	15	4
ENSG00000183977	11	34	0	12
ENSG00000177098	0	0	34	0
ENSG00000117877	20	11	34	16
ENSG00000181544	34	17	5	3
ENSG00000249581	19	34	1	1
ENSG00000140873	21	0	26	34
ENSG00000159915	10	7	31	34
ENSG00000116663	6	1	16	34
ENSG00000139547	26	12	34	15
ENSG00000006015	21	7	17	34
ENSG00000184489	9	8	34	17
ENSG00000246705	30	21	25	34
ENSG00000092208	12	13	33	34
ENSG00000203952	13	34	17	7
ENSG00000147883	13	4	34	4
ENSG00000204335	19	6	10	34
ENSG00000160410	8	1	11	34
ENSG00000125652	3	3	10	35
ENSG00000198704	0	1	1	35
ENSG00000255974	0	35	1	1
ENSG00000116649	7	13	16	35
ENSG00000064787	2	0	24	35
ENSG00000129988	0	0	7	35
ENSG00000099800	7	12	4	35
ENSG00000138092	35	15	18	24
ENSG00000076351	2	8	34	35
ENSG00000002919	31	20	35	23
ENSG00000130957	2	8	35	28
ENSG00000120662	26	11	35	4
ENSG00000168078	0	0	10	35
ENSG00000165819	35	30	27	35
ENSG00000100395	13	5	15	35
ENSG00000111325	28	18	35	32
ENSG00000162076	9	28	34	35
ENSG00000170469	35	6	18	20
ENSG00000162300	9	7	22	35
ENSG00000170485	0	7	3	35
ENSG00000115657	35	25	6	15
ENSG00000162851	27	25	12	35
ENSG00000143374	35	7	12	27
ENSG00000221829	30	22	30	35
ENSG00000090975	3	16	35	30
ENSG00000105397	6	14	4	35
ENSG00000114745	16	35	20	35
ENSG00000111331	0	15	35	6
ENSG00000160972	25	15	4	35
ENSG00000005961	1	7	4	35
ENSG00000104886	25	1	6	35
ENSG00000254858	8	3	13	35
ENSG00000112742	4	1	4	35
ENSG00000157734	35	21	9	18
ENSG00000111602	35	0	7	11
ENSG00000146054	0	3	11	35
ENSG00000204348	6	7	25	35
ENSG00000100889	10	5	25	35
ENSG00000117154	16	35	0	0
ENSG00000163170	30	35	33	28
ENSG00000166676	35	15	18	20
ENSG00000104866	31	17	23	35
ENSG00000159403	0	0	35	12
ENSG00000105875	12	15	12	35
ENSG00000074800	0	4	0	35
ENSG00000137766	0	2	35	9
ENSG00000182307	34	15	35	34
ENSG00000183605	35	35	16	6
ENSG00000170473	15	4	35	24
ENSG00000074706	5	13	34	35
ENSG00000177414	35	16	3	0
ENSG00000196378	6	0	35	7
ENSG00000277399	10	19	35	29
ENSG00000104951	22	12	28	35
ENSG00000099617	33	2	36	27
ENSG00000099999	27	14	15	36
ENSG00000166033	0	0	16	36
ENSG00000213145	1	0	20	36
ENSG00000211448	1	8	19	36
ENSG00000151702	1	36	14	5
ENSG00000130347	16	11	27	36
ENSG00000171224	36	25	21	30
ENSG00000120913	0	3	36	21
ENSG00000180155	1	5	0	36
ENSG00000152154	8	0	0	36
ENSG00000175592	0	0	3	36
ENSG00000002330	22	5	24	36
ENSG00000125246	13	14	9	36
ENSG00000158715	1	0	3	36
ENSG00000158773	14	3	36	22
ENSG00000092470	10	36	20	21
ENSG00000160818	36	5	31	9
ENSG00000137038	36	32	35	32
ENSG00000157992	18	3	19	36
ENSG00000138772	0	2	2	36
ENSG00000197782	17	11	12	36
ENSG00000174498	10	13	36	26
ENSG00000100263	0	0	15	36
ENSG00000174740	3	0	36	11
ENSG00000188467	36	16	4	0
ENSG00000064687	32	14	0	36
ENSG00000146038	36	29	25	34
ENSG00000169495	11	0	36	3
ENSG00000178882	1	7	36	8
ENSG00000124491	0	9	36	21
ENSG00000250305	5	2	8	36
ENSG00000046647	8	22	36	34
ENSG00000160688	36	19	30	28
ENSG00000179922	26	12	7	36
ENSG00000162069	4	0	3	36
ENSG00000077616	14	23	36	23
ENSG00000100599	22	2	29	36
ENSG00000182224	30	28	15	36
ENSG00000198010	9	36	0	0
ENSG00000179588	11	0	35	36
ENSG00000186352	27	21	36	12
ENSG00000137225	36	10	29	32
ENSG00000132207	36	15	17	15
ENSG00000138835	7	36	0	33
ENSG00000105516	2	5	36	12
ENSG00000171960	20	14	36	20
ENSG00000105679	8	36	14	16
ENSG00000075035	19	3	36	22
ENSG00000135736	1	1	5	36
ENSG00000181656	36	0	33	4
ENSG00000205544	30	10	24	36
ENSG00000204851	18	36	11	30
ENSG00000100883	17	16	36	34
ENSG00000199231	19	4	12	36
ENSG00000214842	12	36	8	6
ENSG00000134574	6	11	3	37
ENSG00000112877	24	5	37	22
ENSG00000133665	8	37	3	2
ENSG00000100417	18	9	13	37
ENSG00000087903	20	37	14	28
ENSG00000110104	25	21	23	37
ENSG00000115425	37	18	36	23
ENSG00000143811	13	28	4	37
ENSG00000101444	6	34	37	20
ENSG00000011009	37	2	27	34
ENSG00000107404	21	14	36	37
ENSG00000224051	30	17	37	30
ENSG00000233493	5	13	10	37
ENSG00000087076	37	24	10	6
ENSG00000102362	10	4	37	27
ENSG00000137648	0	0	37	0
ENSG00000109832	37	32	14	2
ENSG00000112706	37	1	0	0
ENSG00000005379	4	6	13	37
ENSG00000093217	8	5	37	8
ENSG00000144120	10	7	37	20
ENSG00000103326	37	21	5	28
ENSG00000078237	11	12	35	37
ENSG00000150756	37	27	18	24
ENSG00000105520	32	13	28	37
ENSG00000100300	0	0	15	37
ENSG00000157036	37	7	19	31
ENSG00000179813	7	28	37	1
ENSG00000128626	27	18	34	37
ENSG00000164713	6	7	6	37
ENSG00000162377	15	17	34	37
ENSG00000118849	1	37	34	0
ENSG00000174946	25	35	37	8
ENSG00000104889	31	10	24	37
ENSG00000148848	37	26	1	3
ENSG00000187260	6	4	8	37
ENSG00000099840	9	7	13	37
ENSG00000115459	23	9	9	37
ENSG00000171863	21	17	37	14
ENSG00000218739	22	8	27	37
ENSG00000158113	37	22	1	0
ENSG00000148123	16	13	37	15
ENSG00000179862	1	0	15	37
ENSG00000136531	31	25	37	23
ENSG00000187889	37	32	7	4
ENSG00000267120	30	16	34	37
ENSG00000197380	7	8	37	35
ENSG00000106605	9	10	31	38
ENSG00000105771	19	3	15	38
ENSG00000196562	38	17	21	31
ENSG00000204385	2	0	38	14
ENSG00000109805	9	14	12	38
ENSG00000101210	2	38	1	0
ENSG00000156521	12	9	38	36
ENSG00000127540	10	24	15	38
ENSG00000004059	38	18	31	23
ENSG00000082515	9	38	17	24
ENSG00000256514	6	0	18	38
ENSG00000169718	20	36	20	38
ENSG00000141570	6	0	38	20
ENSG00000121454	38	31	0	2
ENSG00000148356	14	8	21	38
ENSG00000197114	34	28	24	38
ENSG00000143575	1	13	24	38
ENSG00000170786	0	0	38	12
ENSG00000157911	12	1	21	38
ENSG00000155275	15	38	28	27
ENSG00000179299	4	5	38	7
ENSG00000109158	0	38	4	3
ENSG00000111271	3	7	6	38
ENSG00000106305	15	15	17	38
ENSG00000122035	0	6	9	38
ENSG00000122585	15	1	20	38
ENSG00000121316	5	0	8	38
ENSG00000137502	5	26	38	16
ENSG00000000005	1	0	38	0
ENSG00000268089	2	0	38	0
ENSG00000103187	0	2	11	38
ENSG00000138617	38	11	24	30
ENSG00000157510	6	3	38	30
ENSG00000135632	15	17	1	38
ENSG00000104953	0	0	2	38
ENSG00000126562	7	0	24	38
ENSG00000115255	38	7	8	25
