id	siRNA_CTRL_1	siRNA_CTRL_2	siRNA_CTRL_3	siRNA_ER_1	siRNA_ER_2	siRNA_ER_3
ENSG00000223972	186.79	136.49	150.98	115.82	82.57	101.23
ENSG00000227232	886.95	829.36	934.4	889.27	802.07	858.66
ENSG00000278267	0	0	0	1.01	0	0
ENSG00000243485	4.7	4.63	9.1	15.11	10.48	9.04
ENSG00000274890	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0
ENSG00000268020	0	1.16	0	0	0	0.9
ENSG00000240361	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0
ENSG00000238009	441.71	432.61	403.23	447.15	418.07	338.94
ENSG00000239945	0	0	0	0	0	0
ENSG00000233750	511.03	344.7	405.05	707.99	427.25	394.08
ENSG00000268903	802.37	563.32	670.03	635.48	395.8	423.91
ENSG00000269981	76.36	48.58	67.91	100.71	56.35	47
ENSG00000239906	82.23	79.81	84.28	107.76	61.6	65.98
ENSG00000241860	1308.69	1159.02	1127.83	1961.83	934.44	994.24
ENSG00000222623	4.7	4.63	1.21	3.02	5.24	0
ENSG00000241599	16.45	17.35	7.28	36.26	0	2.71
ENSG00000279928	91.63	67.09	89.13	53.38	30.14	52.42
ENSG00000279457	1886.68	1737.37	1896.69	1823.86	1554.35	1788.72
ENSG00000273874	0	0	0	0	0	0
ENSG00000275135	0	0	0	0	0	0
ENSG00000228463	1484.91	1339.47	1295.79	1317.28	1170.35	1190.37
ENSG00000241670	0	0	0	0	0	0
ENSG00000236679	42.29	37.01	58.21	35.25	47.18	38.87
ENSG00000236743	500.45	476.56	389.28	378.67	446.91	339.85
ENSG00000236601	293.69	277.61	311.67	302.13	259.49	332.62
ENSG00000237094	1306.35	1038.72	1161.79	1655.67	965.9	942.72
ENSG00000269732	0	1.16	0	0	0	0
ENSG00000278566	1.17	0	1.82	3.02	1.31	0.9
ENSG00000224813	0	0	0	0	0	0
ENSG00000233653	101.03	96.01	104.29	194.37	95.67	91.29
ENSG00000250575	946.87	703.28	797.97	898.33	512.44	549.54
ENSG00000278757	4.7	3.47	3.03	7.05	3.93	0
ENSG00000230021	664.92	643.13	532.38	640.51	631.7	488.98
ENSG00000235146	11.75	8.1	16.98	7.05	5.24	8.13
ENSG00000225972	2268.48	2455.69	2993.6	2982.02	2989.43	3095.69
ENSG00000225630	19857.15	22333.67	25632.05	26309.44	27469.75	26637.42
ENSG00000276171	6011.3	6332.96	6942.22	7805.01	10149.13	9656.76
ENSG00000237973	165442.97	182694.7	200160.04	220082.26	190511.1	196480.26
ENSG00000278791	0	0	0	0	0	0
ENSG00000229344	6343.76	6578.18	7623.16	7932.92	7949.98	7669.18
ENSG00000240409	14.1	19.66	14.55	24.17	34.08	18.98
ENSG00000248527	43802.5	49783.45	54524.5	61681.77	58027.22	60229.99
ENSG00000198744	8544.11	9956.92	10377.85	10648.05	10838.49	10773.92
ENSG00000268663	0	1.16	0	0	0	0
ENSG00000273547	1.17	0	1.82	4.03	0	0.9
ENSG00000229376	90.46	98.32	89.13	196.38	85.19	90.39
ENSG00000228327	3821.53	3303.55	3576.31	4446.34	2699.79	2950.17
ENSG00000223181	0	0	0	0	0	0
ENSG00000229905	3.52	25.45	4.85	15.11	1.31	1.81
ENSG00000237491	202.06	152.69	161.9	324.29	136.3	139.19
ENSG00000230092	36.42	41.64	29.11	53.38	38.01	45.19
ENSG00000177757	16.45	32.39	20.01	21.15	14.42	14.46
ENSG00000228794	1058.47	1257.34	1267.29	1133.99	1146.76	1127.1
ENSG00000225880	30.54	24.29	32.74	37.26	32.76	39.77
ENSG00000230368	118.65	112.2	66.09	131.93	127.13	116.6
ENSG00000234711	5.87	3.47	3.64	4.03	5.24	3.62
ENSG00000283040	0	0	0	0	0	0.9
ENSG00000272438	4.7	5.78	6.67	7.05	5.24	9.94
ENSG00000230699	24.67	21.98	22.44	39.28	34.08	42.48
ENSG00000241180	0	0	0	0	0	0
ENSG00000223764	1791.53	1780.17	1761.48	2642.63	2267.3	2424.13
ENSG00000187634	1421.47	1463.23	1460.72	1312.25	1463.92	1595.3
ENSG00000188976	9142.07	9238.61	9619.3	7418.29	8246.17	8479.94
ENSG00000187961	668.44	602.64	637.28	901.35	762.76	908.37
ENSG00000277294	0	0	0	0	0	0
ENSG00000187583	455.81	402.53	446.89	655.62	689.36	814.37
ENSG00000187642	145.67	136.49	174.03	215.52	235.9	271.16
ENSG00000272512	105.73	117.98	122.48	138.98	90.43	114.79
ENSG00000188290	924.54	821.26	836.17	609.29	836.15	868.6
ENSG00000187608	7766.41	7871.38	8089.45	8794.99	12888.24	12933.22
ENSG00000231702	0	1.16	0	9.06	5.24	3.62
ENSG00000224969	8.22	10.41	8.49	26.18	10.48	15.37
ENSG00000188157	43110.56	39189.18	43257.12	57439.87	57995.77	60000.41
ENSG00000242590	0	0	0	0	0	0
ENSG00000217801	387.67	410.63	429.91	562.97	524.23	526.04
ENSG00000273443	31.72	32.39	40.02	64.45	56.35	47.9
ENSG00000237330	2022.96	1731.59	2071.33	941.64	944.93	949.95
ENSG00000131591	990.33	970.48	1099.94	1107.81	1031.43	1024.97
ENSG00000223823	2.35	6.94	7.28	3.02	11.8	7.23
ENSG00000207730	7.05	8.1	7.88	9.06	6.55	10.85
ENSG00000207607	10.57	8.1	13.34	11.08	5.24	9.94
ENSG00000198976	10.57	11.57	15.77	19.13	11.8	21.69
ENSG00000272141	109.25	146.9	123.09	151.06	79.95	134.67
ENSG00000205231	5.87	13.88	9.7	11.08	11.8	9.04
ENSG00000162571	17.62	17.35	15.16	17.12	7.86	10.85
ENSG00000186891	111.6	133.02	109.75	115.82	128.44	135.58
ENSG00000186827	0	0	1.82	1.01	1.31	1.81
ENSG00000078808	9445.16	8833.76	9450.73	10313.7	11687.75	12488.52
ENSG00000176022	2113.41	2179.23	2204.72	2068.58	2539.9	2530.79
ENSG00000184163	30.54	19.66	23.04	40.28	24.9	26.21
ENSG00000260179	12.92	18.51	12.13	22.16	20.97	10.85
ENSG00000160087	3594.8	3627.43	3785.51	3545.99	4098.18	4163.14
ENSG00000230415	8.22	18.51	6.06	10.07	5.24	9.04
ENSG00000162572	85.76	72.87	70.94	114.81	51.11	68.69
ENSG00000131584	3928.43	3372.95	3698.19	4722.29	3673.55	3854.03
ENSG00000278073	0	0	0.61	1.01	0	0.9
ENSG00000169972	1172.42	1074.58	1161.79	1104.79	1163.79	1216.58
ENSG00000127054	5588.38	5125.36	5562.14	5620.62	5577.83	5773.81
ENSG00000274153	0	0	0	0	0	0
ENSG00000240731	172.69	161.94	160.08	236.67	152.03	191.62
ENSG00000224051	2018.26	2061.25	2294.47	2166.27	2690.62	2625.69
ENSG00000169962	55.21	48.58	46.08	52.37	40.63	56.94
ENSG00000107404	3568.95	3215.64	3681.82	3466.43	3293.49	3856.74
ENSG00000275884	0	0	0	0	0	0
ENSG00000162576	206.76	185.07	177.06	232.64	171.69	188.91
ENSG00000175756	5536.69	5450.4	6087.85	4795.8	5875.33	6313.41
ENSG00000223663	1.17	1.16	1.82	1.01	0	3.62
ENSG00000221978	5528.47	5380.99	5292.92	8078.94	6041.77	6453.5
