id	c1	c2	c3	TNFa1	TNFa2	TNFa3
ENSG00000000003	943	899	765	560	490	544
ENSG00000000419	320	415	376	306	271	223
ENSG00000000457	181	201	168	162	105	124
ENSG00000000460	53	49	38	20	41	27
ENSG00000000938	385	374	268	367	233	213
ENSG00000000971	883	1112	777	883	874	537
ENSG00000001036	849	985	643	593	581	540
ENSG00000001084	629	787	560	553	528	421
ENSG00000001167	145	220	157	198	126	106
ENSG00000001460	113	107	76	58	61	59
ENSG00000001461	221	287	227	133	183	188
ENSG00000001497	207	228	198	217	121	148
ENSG00000001629	895	988	809	760	592	589
ENSG00000001630	289	275	460	646	209	190
ENSG00000001631	284	384	297	250	222	193
ENSG00000002016	75	67	85	70	54	58
ENSG00000002330	82	202	134	195	117	102
ENSG00000002549	983	1207	1156	964	862	821
ENSG00000002822	223	288	225	389	207	199
ENSG00000002834	1523	2078	1170	1129	1197	1123
ENSG00000002919	201	249	231	226	169	137
ENSG00000003056	958	993	749	775	683	618
ENSG00000003096	11	32	15	3	7	8
ENSG00000003137	17	28	13	12	15	23
ENSG00000003147	386	494	392	386	343	297
ENSG00000003249	61	56	47	51	45	38
ENSG00000003393	527	530	434	387	335	359
ENSG00000003400	54	80	54	43	35	34
ENSG00000003402	1603	1754	1568	1819	1379	1322
ENSG00000003436	577	931	447	307	611	341
ENSG00000003509	200	216	153	144	167	100
ENSG00000003756	691	905	623	701	583	508
ENSG00000003989	7	32	13	15	18	23
ENSG00000004059	463	569	454	485	397	352
ENSG00000004139	4	9	8	5	6	5
ENSG00000004142	1937	2181	1558	1737	1464	1544
ENSG00000004399	824	1201	749	724	600	707
ENSG00000004455	1187	1330	1007	1233	776	729
ENSG00000004478	444	287	235	393	193	178
ENSG00000004487	1029	1140	950	929	695	678
ENSG00000004534	323	410	295	335	285	259
ENSG00000004660	18	34	16	21	12	15
ENSG00000004700	378	474	356	342	319	237
ENSG00000004766	325	448	341	311	298	231
ENSG00000004776	150	880	739	559	370	344
ENSG00000004779	880	1155	1157	796	794	834
ENSG00000004799	6943	7522	7222	4384	3199	4003
ENSG00000004864	511	607	567	448	354	402
ENSG00000004866	187	175	135	105	111	109
ENSG00000004897	979	1284	811	676	730	571
ENSG00000004961	187	247	185	154	139	121
ENSG00000004975	325	343	262	241	220	248
ENSG00000005007	324	489	291	328	324	259
ENSG00000005020	543	753	692	510	404	381
ENSG00000005022	1138	842	853	781	525	725
ENSG00000005059	444	482	383	322	304	291
ENSG00000005073	25	59	23	27	26	20
ENSG00000005075	69	95	71	70	70	52
ENSG00000005100	80	103	71	91	58	52
ENSG00000005156	181	227	159	152	131	114
ENSG00000005175	106	157	83	107	88	54
ENSG00000005187	27	33	15	29	21	17
ENSG00000005189	77	97	52	76	73	48
ENSG00000005194	766	813	687	845	549	484
ENSG00000005206	58	78	86	58	62	63
ENSG00000005238	649	563	637	549	320	480
ENSG00000005243	845	874	702	789	520	457
