id	Cb1	Cb2	Cb3	Cm1	Cm2	Cm3
ENSG00000182700	126.4	108.1	157.8	119.7	123.6	155.9
ENSG00000255112	429.6	444.3	428.3	406.7	512.7	434.1
ENSG00000255150	139.6	152.0	152.2	124.1	134.0	130.9
ENSG00000204961	102.7	99.3	97.7	124.4	132.6	145.2
ENSG00000254122	124.6	117.3	123.4	97.6	109.2	106.1
ENSG00000276547	119.7	120.8	135.5	121.4	125.2	127.0
ENSG00000215845	110.2	97.8	112.3	106.3	117.3	108.7
ENSG00000204962	112.8	110.9	108.0	106.3	110.3	115.5
ENSG00000262576	114.9	127.4	119.2	113.6	107.5	112.1
ENSG00000253953	698.5	700.8	743.5	487.3	571.1	625.0
ENSG00000121067	108.9	107.2	122.5	107.5	104.5	102.9
ENSG00000081853	136.7	98.5	107.9	123.2	138.8	137.8
ENSG00000204956	131.9	140.9	122.8	147.5	134.1	129.0
ENSG00000253305	228.0	201.1	112.8	101.6	107.9	115.2
ENSG00000262209	465.4	190.5	331.9	666.7	404.6	382.8
ENSG00000058673	320.6	432.0	229.3	355.9	338.1	285.9
ENSG00000240184	726.0	779.5	652.2	634.4	673.9	510.3
ENSG00000177694	91.8	96.7	99.2	118.5	110.2	124.7
ENSG00000253910	95.1	102.8	116.8	98.9	95.9	98.1
ENSG00000214265	339.0	355.0	275.5	291.9	374.5	342.0
ENSG00000240764	370.8	375.1	352.0	271.4	289.5	336.1
ENSG00000253846	136.4	132.2	108.6	111.8	127.2	107.4
ENSG00000257315	564.1	563.4	532.9	951.8	873.5	512.0
ENSG00000259305	110.6	104.0	122.6	107.8	106.9	131.0
ENSG00000278272	968.1	1050.6	816.0	539.7	609.7	631.6
ENSG00000188283	159.5	151.0	171.4	330.9	330.2	314.4
ENSG00000267281	186.7	164.7	147.4	119.6	130.2	122.9
ENSG00000226479	229.6	236.8	261.7	133.6	144.2	207.2
ENSG00000178695	663.9	695.0	818.0	3861.3	3756.0	4236.7
ENSG00000168970	113.7	141.1	124.8	108.6	116.9	114.6
ENSG00000159403	105.4	118.9	129.9	149.9	122.6	139.8
ENSG00000114391	2089.0	2016.1	2712.9	2073.3	2147.6	2912.8
ENSG00000125352	287.6	276.9	468.6	608.9	471.8	625.6
ENSG00000267060	105.8	104.6	99.0	133.1	133.1	127.9
ENSG00000197013	226.8	276.3	355.7	335.8	361.3	563.0
ENSG00000239697	112.8	102.8	111.4	98.3	94.1	103.1
ENSG00000240065	302.4	319.7	405.2	111.4	103.5	114.9
ENSG00000283329	307.1	345.9	372.6	385.3	496.7	502.3
ENSG00000129355	933.2	946.6	782.3	586.5	740.2	720.8
ENSG00000146385	96.5	105.9	120.8	98.7	96.2	99.5
ENSG00000196378	105.3	116.5	124.3	115.8	110.1	106.8
ENSG00000137077	93.3	97.2	104.5	88.7	97.0	99.3
ENSG00000146425	580.1	630.0	632.0	514.4	464.4	724.0
ENSG00000189060	1777.7	1868.3	2308.9	1726.9	1781.6	2827.0
ENSG00000184924	597.0	618.3	660.5	451.8	431.5	461.8
ENSG00000183723	122.8	179.3	111.9	97.2	99.8	104.9
ENSG00000167397	513.6	484.7	436.8	572.7	568.3	604.6
ENSG00000131018	126.0	99.2	104.9	104.2	98.9	95.4
ENSG00000182968	129.8	126.3	108.2	105.0	118.6	113.5
ENSG00000283755	91.2	89.9	89.0	105.3	104.5	105.1
ENSG00000213215	144.1	114.2	128.3	188.4	171.3	151.3
ENSG00000185290	87.0	90.0	97.2	93.9	98.1	101.0
ENSG00000205330	108.7	113.4	108.1	130.0	102.8	102.8
ENSG00000151327	198.3	177.3	200.0	236.9	216.0	223.4
ENSG00000188976	493.1	422.6	348.8	422.1	527.0	337.4
ENSG00000147873	109.1	107.4	99.3	100.1	98.8	94.0
ENSG00000197217	345.3	379.6	352.7	383.4	415.9	318.2
ENSG00000213799	112.2	109.1	121.7	109.9	130.7	129.2
ENSG00000204657	124.4	110.0	155.8	149.1	132.8	127.4
ENSG00000189129	97.5	87.9	103.9	125.7	140.7	150.5
ENSG00000186197	109.1	126.2	112.8	110.6	117.5	113.2
ENSG00000175602	550.3	590.7	622.4	160.7	155.1	174.2
ENSG00000173933	1155.7	1186.2	862.6	873.9	1007.4	741.8
ENSG00000227051	113.3	115.8	154.1	166.8	180.3	224.2
ENSG00000172262	920.5	882.2	668.6	892.7	1098.5	744.5
ENSG00000249141	813.6	907.3	1010.7	962.9	1066.7	1113.2
ENSG00000253457	95.5	85.6	95.7	96.3	105.8	96.9
ENSG00000146676	985.4	1038.5	808.1	896.3	788.3	809.4
ENSG00000219200	275.8	276.7	314.0	148.8	136.8	155.1
ENSG00000185862	813.9	1041.4	831.1	956.6	925.4	714.3
ENSG00000154252	103.1	105.9	117.2	149.5	133.0	153.4
ENSG00000203852	735.1	648.2	571.6	416.7	456.7	546.3
ENSG00000229117	5810.8	6506.6	6204.1	7366.6	6634.7	6506.6
ENSG00000163412	175.4	193.0	141.3	189.0	196.6	182.9
ENSG00000214511	138.7	191.3	92.3	130.8	151.3	102.2
ENSG00000077454	116.5	131.8	139.3	99.1	97.5	98.0
ENSG00000163156	148.9	167.3	127.4	132.0	138.0	149.7
ENSG00000204438	124.7	116.8	141.4	107.3	110.6	116.0
ENSG00000143641	303.4	192.0	273.2	472.9	397.5	479.2
ENSG00000269755	129.5	117.7	184.4	219.2	166.2	155.7
ENSG00000256061	94.0	92.7	97.3	121.2	102.8	103.5
ENSG00000242265	382.8	431.1	467.8	300.0	262.7	331.6
ENSG00000204389	197.8	479.2	92.8	115.6	130.9	103.2
ENSG00000172724	88.3	97.0	95.6	157.4	123.5	168.5
ENSG00000131508	408.0	238.0	460.7	740.6	776.0	951.8
ENSG00000257704	212.3	163.6	152.3	238.1	185.4	234.3
ENSG00000133983	106.8	101.5	99.3	103.1	112.7	107.4
ENSG00000180929	86.9	93.2	89.8	118.5	104.5	137.1
ENSG00000106355	699.8	881.8	945.7	717.1	671.8	779.9
ENSG00000165899	89.2	83.9	79.1	85.8	83.1	92.8
ENSG00000255302	748.7	555.8	834.5	761.2	773.3	1026.1
ENSG00000224531	181.3	224.8	255.1	227.0	210.4	257.3
ENSG00000206538	87.3	92.8	84.1	96.9	94.9	95.1
ENSG00000253276	191.6	219.3	181.2	157.8	164.1	185.6
ENSG00000213463	132.8	120.1	147.7	108.4	118.3	129.2
ENSG00000110700	924.3	962.6	1166.3	1259.8	1062.2	1363.4
ENSG00000092841	3308.7	2793.6	2852.4	2044.8	1997.4	2275.9
ENSG00000283268	97.7	100.2	94.5	116.4	107.8	99.2
ENSG00000178878	230.6	401.7	166.6	88.9	82.2	88.7
ENSG00000151575	385.2	445.1	227.1	705.3	709.3	425.0
ENSG00000182004	907.9	891.8	952.4	618.1	770.9	924.3
ENSG00000136732	204.7	180.8	344.0	294.5	358.4	473.4
ENSG00000163563	454.3	435.9	275.3	90.1	88.8	91.1
ENSG00000181038	127.2	132.0	162.5	132.9	138.0	140.0
ENSG00000258289	189.0	149.1	200.8	194.9	178.7	209.1
ENSG00000258311	418.4	445.3	408.1	282.1	231.3	308.4
ENSG00000243649	110.1	100.5	110.4	98.7	93.9	106.9
ENSG00000183036	97.6	89.4	91.2	93.2	90.3	102.0
ENSG00000143127	112.1	88.3	98.6	901.9	581.1	393.5
ENSG00000242515	108.9	109.5	101.2	91.9	89.4	91.0
ENSG00000167165	85.5	91.2	91.0	89.7	91.1	78.6
ENSG00000204165	132.3	108.1	105.4	87.6	87.6	93.8
ENSG00000176076	95.1	85.5	104.3	157.1	139.7	167.1
ENSG00000164663	123.5	112.0	101.3	113.0	110.7	107.1
ENSG00000146414	137.6	148.5	163.2	189.3	208.9	198.0
ENSG00000181013	458.3	365.4	564.1	118.3	123.9	123.0
ENSG00000128881	110.4	118.0	104.1	117.5	122.5	122.2
ENSG00000101955	98.9	100.3	91.6	162.8	151.0	163.7
